[foz_us];[FOZ_US];false;false;false;us-volumes;fluid ounce;ozfl;fluid volume;[gil_us]/4;[GIL_US]/4;1;;
[fdr_us];[FDR_US];false;false;false;us-volumes;fluid dram;;fluid volume;[foz_us]/8;[FOZ_US]/8;1;;
[min_us];[MIN_US];false;false;false;us-volumes;minim;;fluid volume;[fdr_us]/60;[FDR_US]/60;1;;
[crd_us];[CRD_US];false;false;false;us-volumes;cord;;fluid volume;[ft_i]3;[FT_I]3;128;;
[bu_us];[BU_US];false;false;false;us-volumes;bushel;;dry volume;[in_i]3;[IN_I]3;2150.42;;
[gal_wi];[GAL_WI];false;false;false;us-volumes;historical winchester gallon;;dry volume;[bu_us]/8;[BU_US]/8;1;;
[pk_us];[PK_US];false;false;false;us-volumes;peck;;dry volume;[bu_us]/4;[BU_US]/4;1;;
[dqt_us];[DQT_US];false;false;false;us-volumes;dry quart;;dry volume;[pk_us]/8;[PK_US]/8;1;;
[dpt_us];[DPT_US];false;false;false;us-volumes;dry pint;;dry volume;[dqt_us]/2;[DQT_US]/2;1;;
[tbs_us];[TBS_US];false;false;false;us-volumes;tablespoon;;volume;[foz_us]/2;[FOZ_US]/2;1;;
[tsp_us];[TSP_US];false;false;false;us-volumes;teaspoon;;volume;[tbs_us]/3;[TBS_US]/3;1;;
[cup_us];[CUP_US];false;false;false;us-volumes;cup;;volume;[tbs_us];[TBS_US];16;;
[foz_m];[FOZ_M];false;false;false;us-volumes;metric fluid ounce;ozfl;fluid volume;mL;ML;30;;
[cup_m];[CUP_M];false;false;false;us-volumes;metric cup;;volume;mL;ML;240;;
[tsp_m];[TSP_M];false;false;false;us-volumes;metric teaspoon;;volume;mL;mL;5;;
[tbs_m];[TBS_M];false;false;false;us-volumes;metric tablespoon;;volume;mL;mL;15;;
[gal_br];[GAL_BR];false;false;false;brit-volumes;gallon;;volume;l;L;4.54609;;
[pk_br];[PK_BR];false;false;false;brit-volumes;peck;;volume;[gal_br];[GAL_BR];2;;
[bu_br];[BU_BR];false;false;false;brit-volumes;bushel;;volume;[pk_br];[PK_BR];4;;
[qt_br];[QT_BR];false;false;false;brit-volumes;quart;;volume;[gal_br]/4;[GAL_BR]/4;1;;
[pt_br];[PT_BR];false;false;false;brit-volumes;pint;;volume;[qt_br]/2;[QT_BR]/2;1;;
[gil_br];[GIL_BR];false;false;false;brit-volumes;gill;;volume;[pt_br]/4;[PT_BR]/4;1;;
[foz_br];[FOZ_BR];false;false;false;brit-volumes;fluid ounce;;volume;[gil_br]/5;[GIL_BR]/5;1;;
[fdr_br];[FDR_BR];false;false;false;brit-volumes;fluid dram;;volume;[foz_br]/8;[FOZ_BR]/8;1;;
[min_br];[MIN_BR];false;false;false;brit-volumes;minim;;volume;[fdr_br]/60;[FDR_BR]/60;1;;
[gr];[GR];false;false;false;avoirdupois;grain;;mass;mg;MG;64.79891;;
[lb_av];[LB_AV];false;false;false;avoirdupois;pound;lb;mass;[gr];[GR];7000;;
[oz_av];[OZ_AV];false;false;false;avoirdupois;ounce;oz;mass;[lb_av]/16;[LB_AV]/16;1;;
[dr_av];[DR_AV];false;false;false;avoirdupois;dram;;mass;[oz_av]/16;[OZ_AV]/16;1;;
[scwt_av];[SCWT_AV];false;false;false;avoirdupois;short hundredweight,U.S. hundredweight;;mass;[lb_av];[LB_AV];100;;
[lcwt_av];[LCWT_AV];false;false;false;avoirdupois;long hunderdweight,British hundredweight;;mass;[lb_av];[LB_AV];112;;
[ston_av];[STON_AV];false;false;false;avoirdupois;short ton,U.S. ton;;mass;[scwt_av];[SCWT_AV];20;;
[lton_av];[LTON_AV];false;false;false;avoirdupois;long ton,British ton;;mass;[lcwt_av];[LCWT_AV];20;;
[stone_av];[STONE_AV];false;false;false;avoirdupois;stone,British stone;;mass;[lb_av];[LB_AV];14;;
[pwt_tr];[PWT_TR];false;false;false;troy;pennyweight;;mass;[gr];[GR];24;;
[oz_tr];[OZ_TR];false;false;false;troy;ounce;;mass;[pwt_tr];[PWT_TR];20;;
[lb_tr];[LB_TR];false;false;false;troy;pound;;mass;[oz_tr];[OZ_TR];12;;
[sc_ap];[SC_AP];false;false;false;apoth;scruple;;mass;[gr];[GR];20;;
